year,Unknown,Other,Taliban,Islamic State of Iraq and the Levant,Boko Haram,Al-Shabaab,Tehrik-i-Taliban Pakistan,Al-Qaida in Iraq,Al-Qaida,Al-Qaida in the Arabian Peninsula,Al-Nusrah Front,Lord's Resistance Army,Liberation Tigers of Tamil Eelam,Revolutionary Armed Forces of Colombia,Communist Party of India - Maoist,Fulani Militants
2000,1253,2517,0,0,0,0,0,0,19,0,0,30,342,256,0,0
2001,1174,3078,153,0,0,0,0,0,2995,0,0,36,164,133,0,0
2002,828,2823,5,0,0,0,0,0,100,0,0,699,3,335,0,0
2003,620,2134,86,0,0,0,0,0,73,0,0,201,23,132,0,0
2004,2046,3061,192,0,0,0,0,69,28,33,0,193,24,65,0,0
2005,3179,1657,293,0,0,0,0,806,29,0,0,80,75,131,45,0
2006,6152,1736,476,0,0,0,0,99,20,4,0,23,684,59,108,0
2007,8021,2483,745,0,0,135,14,869,63,0,0,15,405,55,27,0
2008,4522,2134,750,0,0,112,324,416,41,0,0,322,275,34,163,0
2009,3695,2013,683,0,304,240,658,258,0,6,0,680,143,91,500,0
2010,3278,1331,627,0,72,206,863,223,0,178,0,153,0,53,722,13
2011,3717,1359,811,0,322,294,634,257,1,408,0,20,0,40,329,0
2012,5397,2068,2574,0,1227,706,974,917,0,963,303,0,0,159,25,6
2013,9899,3104,2714,1439,1713,737,728,414,0,370,695,0,0,106,86,66
2014,9763,7465,4095,9326,7093,1777,780,0,0,866,765,12,0,88,72,1230
2015,6504,7998,5215,8420,6299,1586,368,0,0,360,924,34,0,48,94,572
